3.981071705534972693e+02;7.832393830241147725e+01
4.216965034285821616e+02;7.752147589038561648e+01
4.466835921509633067e+02;7.664315262369639470e+01
4.731512589614805506e+02;7.655451078022426259e+01
5.011872336272722919e+02;7.612634509507672931e+01
5.308844442309887199e+02;7.529698283355249089e+01
5.623413251903492664e+02;7.402191317508049906e+01
5.956621435290105637e+02;7.401543585677740111e+01
6.309573444801932283e+02;7.298945607942270897e+01
6.683439175686144154e+02;7.076486194672708052e+01
7.079457843841381646e+02;7.142085923021309668e+01
7.498942093324558300e+02;6.965864507482554302e+01
7.943282347242820833e+02;6.871094315443791345e+01
8.413951416451955083e+02;6.787999807113484962e+01
8.912509381337457626e+02;6.629753541167491449e+01
9.440608762859234275e+02;6.545300870449611352e+01
9.999999999999997726e+02;6.379737765892613055e+01
1.059253725177288288e+03;6.322816843418011246e+01
1.122018454301963629e+03;6.122515006769462076e+01
1.188502227437018291e+03;6.045015615727028546e+01
1.258925411794167985e+03;5.918238245152860344e+01
1.333521432163324562e+03;5.770731334769811838e+01
1.412537544622754467e+03;5.600389419732692886e+01
1.496235656094433125e+03;5.482265084430187585e+01
1.584893192461112903e+03;5.393200460149613917e+01
1.678804018122559228e+03;5.271382477876571926e+01
1.778279410038922833e+03;5.127520653096829051e+01
1.883649089489800190e+03;4.953529747377800163e+01
1.995262314968880446e+03;4.746894722440223546e+01
2.113489039836647407e+03;4.646112227515928339e+01
2.238721138568339484e+03;4.603186248890273902e+01
2.371373705661654640e+03;4.564439730444959054e+01
2.511886431509578870e+03;4.598763764831659984e+01
2.660725059798807706e+03;4.480420099287938740e+01
2.818382931264453418e+03;4.471867795932251965e+01
2.985382618917955824e+03;4.549176373305525090e+01
3.162277660168380407e+03;4.669177672363240816e+01
3.349654391578276773e+03;4.762976290228411358e+01
3.548133892335753899e+03;4.710861259920573474e+01
3.758374042884440314e+03;4.615736039374438349e+01
3.981071705534970079e+03;4.523625512086710643e+01
